管理番号,管理名称,管理担当部課名,組織管理区分１名,利用者名,設置場所,設置場所詳細
24NA2Z1876,eNB(femt)24Bソフトウェア,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24PA145505,NB-IOTソフトウェアライセンス一,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24PA1Y0538,1号館(N204)コンセント設置工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24PA2A6659,対向_IPNF_IPv4v6混在ライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24PA2T8813,24年度_FR_vRA2.0_追加工程,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24PA2Z1797,ECO_CUバンド切り替えライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24RA126258,EPC-iSIM追加ライセンス_202409_,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24RA1Y0539,1号館(N302)コンセント設置工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24RA299421,CV成東東_EriMMU,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24RA2P3597,QXDM_QCATライセンスFR系_2503,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24RA2U5123,UE-SIM_SW(VIAVI,E500-AS2)-2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24RA2Z1798,ECO_CUバンド切り替えライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24SA0P6408,４ＧｖＲＡＮ系＿Ｎ６０３電源工,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24SA126259,EPC-iSIM追加ライセンス_202409_,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24SA142567,DuoSIM-A2 メッセージサイズ拡張,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24SA1E1377,EPC-iSIMローミングStep3_2503#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24SA2S7896,N101_海外vRAN試験用AC電源工事1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24SA2Z1799,ECO_CUバンド切り替えライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24TA1E1378,EPC-iSIMローミングStep3_2503#2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24TA258177,UE-SIM_SW(VIAVI,E500-AS2)-09,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24TA258737,海外商用_5GC-SIM_SW_L1L2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24TA2S7897,EC302_海外vRAN試験用AC電源工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24UA094034,光回線工事２０２４,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24UA1E1379,EPC-iSIMローミングStep3_2503#3,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24UA258738,海外商用_5GC-SIM_SW_RIC,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24UA260807,4GvRAN_N305_AC電源敷設_2502,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24UA2W1114,N101_海外vRAN試験用AC電源工事2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24VA0K7645,eNB(HD)23Bソフトウェア,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24VA253519,UE-SIM_SW_PSM_09,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
